paymentID,paymentDate,payment method,amount,transictionID,orderID
5342,"Jun 30, 2023",stocks,$6318.51,6575,3913
5860,"Dec 4, 2024",credit,$8355.77,6592,3865
5728,"Mar 4, 2024",credit,$6790.26,6300,3279
5379,"Jan 22, 2025",stocks,$4551.06,6538,3922
5013,"Apr 26, 2025",trade,$9392.00,6691,3041
5079,"Jun 1, 2024",cash,$6505.20,6632,3033
5846,"Jul 17, 2024",credit,$1307.89,6120,3523
5609,"Jul 23, 2024",stocks,$3981.60,6216,3143
5442,"Dec 26, 2023",trade,$2403.88,6783,3672
5233,"Jul 10, 2023",stocks,$9100.87,6395,3857
5081,"Jul 14, 2023",trade,$8402.13,6123,3331
5653,"Apr 21, 2025",credit,$1633.27,6402,3223
5592,"Jan 1, 2024",trade,$8932.28,6845,3089
5957,"Mar 16, 2025",cash,$3725.30,6335,3009
5963,"May 30, 2023",stocks,$5136.69,6433,3022
5818,"May 11, 2024",stocks,$3054.90,6900,3792
5512,"Sep 7, 2023",trade,$9624.21,6954,3798
5152,"Aug 26, 2024",stocks,$8437.68,6160,3124
5028,"Nov 3, 2023",stocks,$7508.55,6869,3772
5289,"Jan 19, 2024",trade,$1954.36,6710,3619
5296,"Jun 16, 2023",credit,$2727.31,6771,3744
5111,"Nov 2, 2024",trade,$9093.94,6353,3554
5806,"Jun 11, 2023",cash,$9662.59,6939,3122
5470,"Feb 6, 2024",stocks,$7031.31,6553,3349
5940,"Jul 15, 2023",cash,$8090.79,6273,3353
5229,"Sep 29, 2023",trade,$9293.29,6548,3090
5296,"Oct 27, 2023",credit,$3769.82,6957,3613
5336,"Sep 24, 2024",stocks,$5822.48,6846,3074
5361,"Jan 2, 2025",trade,$4394.28,6002,3977
5468,"Jul 7, 2024",trade,$5846.12,6178,3627
5789,"Feb 27, 2025",credit,$2438.97,6143,3359
5064,"Aug 25, 2023",stocks,$3732.02,6058,3804
5732,"Dec 2, 2023",cash,$4024.20,6893,3122
5180,"Jan 10, 2024",credit,$4388.71,6809,3849
5927,"May 13, 2025",cash,$1132.11,6526,3596
5880,"Jan 5, 2025",credit,$1405.04,6605,3241
